time_ms,ref_speed,actual_speed,pwm_value
15938,50.00,48.57,57.14
15951,50.00,45.71,171.43
15961,50.00,48.57,57.14
15972,50.00,45.71,171.43
15983,50.00,45.71,171.43
15994,50.00,48.57,57.14
16006,50.00,45.71,171.43
16016,50.00,45.71,171.43
16028,50.00,45.71,171.43
16038,50.00,48.57,57.14
16050,50.00,45.71,171.43
16061,50.00,48.57,57.14
16073,50.00,45.71,171.43
16084,50.00,45.71,171.43
16094,50.00,48.57,57.14
16105,50.00,45.71,171.43
16116,50.00,45.71,171.43
16128,50.00,48.57,57.14
16138,50.00,45.71,171.43
16150,50.00,48.57,57.14
16162,50.00,45.71,171.43
16172,50.00,45.71,171.43
16183,50.00,45.71,171.43
16194,50.00,48.57,57.14
16205,50.00,45.71,171.43
16216,50.00,45.71,171.43
16228,50.00,48.57,57.14
16238,50.00,45.71,171.43
16250,50.00,45.71,171.43
16261,50.00,48.57,57.14
16273,50.00,45.71,171.43
16284,50.00,48.57,57.14
16294,50.00,45.71,171.43
16306,50.00,45.71,171.43
16317,50.00,45.71,171.43
16328,50.00,48.57,57.14
16338,50.00,45.71,171.43
16350,50.00,48.57,57.14
16362,50.00,45.71,171.43
16373,50.00,45.71,171.43
16384,50.00,45.71,171.43
16394,50.00,48.57,57.14
16406,50.00,45.71,171.43
16417,50.00,48.57,57.14
16427,50.00,45.71,171.43
16438,50.00,45.71,171.43
16451,50.00,48.57,57.14
16461,50.00,45.71,171.43
16473,50.00,45.71,171.43
16483,50.00,48.57,57.14
16494,50.00,45.71,171.43
16505,50.00,45.71,171.43
16516,50.00,45.71,171.43
16527,50.00,48.57,57.14
16538,50.00,45.71,171.43
16551,50.00,45.71,171.43
16561,50.00,45.71,171.43
16572,50.00,45.71,171.43
16584,50.00,48.57,57.14
16594,50.00,45.71,171.43
16605,50.00,45.71,171.43
16617,50.00,48.57,57.14
16628,50.00,45.71,171.43
16638,50.00,45.71,171.43
16650,50.00,45.71,171.43
16662,50.00,45.71,171.43
16673,50.00,45.71,171.43
16683,50.00,48.57,57.14
16695,50.00,45.71,171.43
16705,50.00,48.57,57.14
16716,50.00,45.71,171.43
16728,50.00,45.71,171.43
16739,50.00,45.71,171.43
16750,50.00,48.57,57.14
16762,50.00,45.71,171.43
16772,50.00,48.57,57.14
16783,50.00,45.71,171.43
16794,50.00,45.71,171.43
16806,50.00,45.71,171.43
16816,50.00,48.57,57.14
16828,50.00,45.71,171.43
16838,50.00,45.71,171.43
16850,50.00,45.71,171.43
16861,50.00,45.71,171.43
16872,50.00,48.57,57.14
16883,50.00,45.71,171.43
16894,50.00,45.71,171.43
16905,50.00,45.71,171.43
16916,50.00,48.57,57.14
16928,50.00,45.71,171.43
16938,50.00,45.71,171.43
16950,50.00,45.71,171.43
16962,50.00,45.71,171.43
16972,50.00,48.57,57.14
16984,50.00,45.71,171.43
16994,50.00,45.71,171.43
17006,50.00,48.57,57.14
17017,50.00,45.71,171.43
17027,50.00,45.71,171.43
17038,50.00,45.71,171.43
17051,50.00,45.71,171.43
17061,50.00,45.71,171.43
17072,50.00,48.57,57.14
17083,50.00,45.71,171.43
17094,50.00,45.71,171.43
17105,50.00,48.57,57.14
17116,50.00,45.71,171.43
17128,50.00,45.71,171.43
17138,50.00,48.57,57.14
17149,50.00,45.71,171.43
17162,50.00,45.71,171.43
17172,50.00,48.57,57.14
17183,50.00,45.71,171.43
17195,50.00,45.71,171.43
17205,50.00,48.57,57.14
17217,50.00,45.71,171.43
17227,50.00,45.71,171.43
17239,50.00,48.57,57.14
17250,50.00,45.71,171.43
17261,50.00,45.71,171.43
17272,50.00,48.57,57.14
17283,50.00,45.71,171.43
17294,50.00,48.57,57.14
17305,50.00,45.71,171.43
17316,50.00,45.71,171.43
17328,50.00,45.71,171.43
17338,50.00,45.71,171.43
17350,50.00,45.71,171.43
17362,50.00,48.57,57.14
17373,50.00,45.71,171.43
17383,50.00,45.71,171.43
17394,50.00,45.71,171.43
17406,50.00,48.57,57.14
17416,50.00,45.71,171.43
17427,50.00,45.71,171.43
17439,50.00,48.57,57.14
17450,50.00,45.71,171.43
17461,50.00,45.71,171.43
17472,50.00,48.57,57.14
17483,50.00,45.71,171.43
17494,50.00,48.57,57.14
17506,50.00,45.71,171.43
17516,50.00,45.71,171.43
17527,50.00,45.71,171.43
17538,50.00,48.57,57.14
17549,50.00,45.71,171.43
17561,50.00,45.71,171.43
17572,50.00,48.57,57.14
17583,50.00,45.71,171.43
17594,50.00,48.57,57.14
17605,50.00,45.71,171.43
17616,50.00,45.71,171.43
17627,50.00,45.71,171.43
17638,50.00,48.57,57.14
17650,50.00,45.71,171.43
17661,50.00,48.57,57.14
17672,50.00,45.71,171.43
17684,50.00,45.71,171.43
17695,50.00,45.71,171.43
17706,50.00,48.57,57.14
17716,50.00,45.71,171.43
17727,50.00,48.57,57.14
17739,50.00,45.71,171.43
